brand,model,ram_gb,storage_gb,condition,battery_health,age_years,original_price,resale_price
Motorola,Motorola G24 Power,4,128,Good,75,3,8999,3543
Redmi,POCO C65,4,128,Good,74,1,7499,3745
Oppo,OPPO A17k,3,64,Like New,77,2,7999,4434
Motorola,Motorola G13,4,64,Like New,64,4,7999,2764
Samsung,Galaxy M04,4,64,Poor,52,1,7999,1684
Realme,Realme Narzo 50A Prime,4,64,Good,54,1,8999,3280
Oppo,OPPO A58 5G,6,128,Good,90,1,13999,8504
Apple,iPhone 14 Pro,6,128,Poor,98,3,117999,36426
Vivo,Vivo Y18e,4,64,Poor,76,3,7999,1914
iQOO,iQOO Z7 Pro 5G,8,128,Good,87,1,23999,14093
OnePlus,OnePlus 11R 5G,8,128,Like New,50,4,37999,10259
Infinix,Note 40 Pro 5G,8,256,Like New,75,2,21999,11879
iQOO,iQOO Neo 9 Pro,8,128,Poor,57,3,35999,6463
Realme,Realme Narzo 60 Pro 5G,12,256,Good,74,2,23999,10655
Motorola,Motorola Razr 40,8,256,Poor,53,2,59999,11447
iQOO,iQOO Z9x 5G,4,128,Like New,68,2,12999,6364
OnePlus,OnePlus 12,12,256,Poor,52,4,64999,9125
Infinix,Note 30 5G,8,128,Fair,75,3,13999,4409
iQOO,iQOO Z9x 5G,4,128,Fair,77,3,12999,4203
Samsung,Galaxy A04,4,64,Fair,66,3,7499,2078
Infinix,Hot 30,4,64,Good,71,1,9499,4552
Motorola,Motorola Edge 50 Fusion,8,128,Good,62,4,22999,6416
Infinix,Hot 30i,4,128,Poor,100,2,8499,3059
Realme,Realme C51,4,64,Like New,74,1,7999,4794
Samsung,Galaxy A05s,6,128,Poor,61,3,11999,2305
Samsung,Galaxy A14 5G,6,128,Good,64,4,13499,3887
Samsung,Galaxy S24,8,256,Fair,66,4,79999,19007
Motorola,Motorola G85 5G,8,128,Poor,70,4,17999,3401
Motorola,Motorola G73 5G,8,128,Like New,86,2,16999,10525
Realme,Realme Narzo 60 5G,8,128,Fair,69,3,17999,5216
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Poor,51,3,17999,2891
iQOO,iQOO Z7 5G,6,128,Poor,87,3,14999,4110
Infinix,Note 40 5G,8,128,Fair,87,2,16999,7098
Apple,iPhone 14 (256GB),6,256,Good,64,2,79999,30719
Redmi,Xiaomi 14,12,256,Poor,77,1,69999,21829
Realme,Realme 11 5G,8,128,Good,54,4,14999,3644
OnePlus,OnePlus Nord N30 SE 5G,4,128,Poor,68,2,13999,3426
Apple,iPhone 12 (128GB),4,128,Poor,84,3,54999,14552
Motorola,Motorola Edge 50 Ultra,12,512,Like New,58,3,59999,21923
Apple,iPhone 14,6,128,Good,50,3,69999,18374
Redmi,Xiaomi 14,12,256,Good,84,3,69999,30869
Realme,Realme Narzo 60x 5G,6,128,Poor,94,2,12999,4398
Oppo,OPPO F21 Pro 5G,8,128,Poor,71,1,24999,7188
Motorola,Motorola Razr 40,8,256,Like New,92,1,59999,44711
Samsung,Galaxy Z Fold 5,12,256,Poor,61,4,154999,25528
Samsung,Galaxy M13,4,64,Fair,92,4,9499,3146
Vivo,Vivo Y28 5G,4,128,Fair,57,4,13999,2872
Apple,iPhone 13 (256GB),4,256,Fair,83,3,69900,24367
Infinix,Hot 30i,4,128,Like New,74,4,8499,3396
Apple,iPhone 13 Mini,4,128,Poor,63,2,52999,12020
Realme,Realme 10,8,128,Good,67,3,12999,4572
Vivo,Vivo V30 5G,8,128,Fair,91,4,33999,11138
Infinix,Note 30 5G,8,128,Good,70,1,13999,6614
Oppo,OPPO F25 Pro 5G,8,128,Fair,61,1,23999,7905
Infinix,Zero Ultra,8,256,Fair,62,4,29999,6695
Redmi,Redmi 12,4,128,Fair,66,4,9999,2375
Vivo,Vivo V30 5G,8,128,Poor,83,3,33999,8889
OnePlus,OnePlus 12R,8,128,Good,97,4,39999,17459
iQOO,iQOO Z7 5G,6,128,Poor,69,2,14999,3725
iQOO,iQOO Neo 9 Pro,8,128,Like New,93,3,35999,21091
OnePlus,OnePlus 11R 5G,8,128,Like New,56,2,37999,15321
Realme,Realme Narzo 30,6,64,Good,100,3,10999,5774
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Good,52,3,17999,4913
iQOO,iQOO Neo 9 Pro,8,128,Like New,59,4,35999,11469
Infinix,Hot 30i,4,128,Like New,66,3,8499,3533
Realme,Realme C55,6,64,Fair,100,3,9999,4199
Infinix,Note 40 Pro 5G,8,256,Poor,79,4,21999,4692
Realme,Realme Narzo 60 5G,8,128,Like New,87,3,17999,9865
Vivo,Vivo T3 5G,8,128,Poor,67,3,17999,3798
OnePlus,OnePlus Nord N30 SE 5G,4,128,Fair,91,1,13999,6879
Oppo,OPPO A77s,6,128,Like New,72,1,12499,7289
OnePlus,OnePlus Nord 3 5G,8,128,Like New,82,1,30999,20589
Redmi,Redmi A3,3,64,Good,59,3,6999,2167
Vivo,Vivo Y200 5G,8,128,Good,73,2,21999,9635
Oppo,OPPO Reno 10 5G,8,256,Fair,87,1,32999,15502
Vivo,Vivo Y18e,4,64,Good,61,2,7999,2927
iQOO,iQOO Neo 9 Pro,8,128,Poor,80,1,35999,11663
Apple,iPhone 13 (256GB),4,256,Fair,74,4,69900,18621
Samsung,Galaxy A05s,6,128,Fair,83,3,11999,4182
Oppo,OPPO F25 Pro 5G,8,128,Poor,94,3,23999,7106
iQOO,iQOO Z7 5G,6,128,Poor,99,2,14999,5345
Apple,iPhone 13 Mini,4,128,Fair,80,4,52999,15263
OnePlus,OnePlus Open (Foldable),16,512,Fair,54,4,139999,27215
Samsung,Galaxy A23 5G,6,128,Good,60,3,18999,5984
Vivo,Vivo V30 Pro 5G,8,256,Good,67,1,41999,18994
Samsung,Galaxy Z Fold 5,12,256,Poor,85,2,154999,47429
OnePlus,OnePlus Nord CE 3 5G,8,128,Like New,58,1,26999,12684
Infinix,Hot 30,4,64,Like New,56,1,9499,4308
Redmi,Xiaomi 14 Civi,8,256,Good,50,4,42999,9674
Realme,Realme C51,4,64,Good,88,2,7999,4223
OnePlus,OnePlus 12,12,256,Poor,87,2,64999,20357
OnePlus,OnePlus 11R 5G,8,128,Poor,78,3,37999,9336
Realme,Realme Narzo 60x 5G,6,128,Like New,72,3,12999,5896
Realme,Realme 10,8,128,Like New,56,1,12999,5896
Redmi,Redmi 13C 5G,4,128,Poor,85,4,9999,2294
Realme,Realme C55,6,64,Poor,60,3,9999,1889
Redmi,POCO M6 5G,4,128,Good,71,2,9499,4046
OnePlus,OnePlus Nord 3 5G,8,128,Poor,58,2,30999,6472
Vivo,Vivo Y28 5G,4,128,Like New,84,4,13999,6349
Realme,Realme Narzo 60 Pro 5G,12,256,Fair,97,1,23999,12570
Vivo,Vivo Y18e,4,64,Fair,55,4,7999,1583
Motorola,Motorola E13,2,64,Fair,97,3,6499,2647
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Good,98,2,17999,10583
iQOO,iQOO 12 5G,12,256,Fair,71,4,52999,13546
Motorola,Motorola G64 5G,6,128,Good,58,4,13999,3653
Realme,Realme Narzo 60 Pro 5G,12,256,Fair,70,2,23999,8063
Infinix,Note 30 5G,8,128,Fair,68,4,13999,3426
Realme,Realme Narzo 50i Prime,3,32,Like New,97,2,7499,5237
Vivo,Vivo Y27 5G,6,128,Like New,54,4,12999,3790
iQOO,iQOO 12 5G,12,256,Like New,89,2,52999,33961
Vivo,Vivo Y28 5G,4,128,Poor,99,3,13999,4365
Oppo,OPPO A59 5G,4,128,Like New,61,1,12999,6422
Samsung,Galaxy M55 5G,8,128,Fair,57,1,26999,8310
Redmi,POCO M6 Pro 5G,4,128,Fair,79,4,10999,3128
Oppo,OPPO A79 5G,8,128,Like New,56,2,17999,7257
Motorola,Motorola G24,4,128,Good,97,1,8499,5564
OnePlus,OnePlus 11R 5G,8,128,Good,52,2,37999,11855
Oppo,OPPO A77s,6,128,Like New,73,4,12499,4927
OnePlus,OnePlus 11 5G,8,128,Fair,88,4,56999,18057
Apple,iPhone 15 Pro Max,8,256,Good,85,2,159900,81549
Vivo,Vivo Y27 5G,6,128,Good,78,2,12999,6083
Oppo,OPPO K10 5G,8,128,Fair,65,1,14999,5264
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Fair,61,1,17999,5928
OnePlus,OnePlus Nord CE 3 5G,8,128,Fair,58,3,26999,6576
Redmi,Redmi Note 13 4G,6,128,Fair,77,2,14499,5358
Motorola,Motorola E13,2,64,Good,81,2,6499,3158
Oppo,OPPO A38,4,128,Like New,82,3,9499,4907
Vivo,Vivo V29 5G,8,128,Like New,54,4,31999,9330
Vivo,Vivo Y28 5G,4,128,Like New,78,3,13999,6879
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Poor,78,3,17999,4422
Vivo,Vivo Y200 5G,8,128,Like New,57,2,21999,9028
Apple,iPhone 14 Pro Max (1TB),6,1024,Poor,91,3,169900,48701
Apple,iPhone 14 Pro,6,128,Like New,52,1,117999,49701
Oppo,OPPO K10 5G,8,128,Fair,83,3,14999,5228
Oppo,OPPO A58 5G,6,128,Poor,88,3,13999,3880
Infinix,Note 40 5G,8,128,Poor,75,3,16999,4016
Motorola,Motorola G85 5G,8,128,Like New,65,1,17999,9476
Redmi,Xiaomi Pad 6 (tablet),8,128,Good,56,2,26999,9071
Redmi,POCO C65,4,128,Good,63,1,7499,3188
Oppo,OPPO A17,4,64,Like New,82,1,9999,6641
Oppo,OPPO Reno 10 5G,8,256,Good,91,2,32999,18017
Redmi,Xiaomi 14,12,256,Like New,96,4,69999,36287
Apple,iPhone 14 Pro,6,128,Like New,93,3,117999,69135
Apple,iPhone 14 Pro Max (1TB),6,1024,Like New,63,4,169900,57799
iQOO,iQOO Z7 Pro 5G,8,128,Like New,65,4,23999,8423
Infinix,Note 11S,6,128,Good,63,2,10999,4157
Vivo,Vivo V29 5G,8,128,Poor,86,1,31999,11145
iQOO,iQOO Z9 5G,8,128,Good,57,2,19999,6839
Samsung,Galaxy M04,4,64,Poor,59,2,7999,1698
Motorola,Motorola E13,2,64,Poor,61,3,6499,1248
Infinix,Hot 30i,4,128,Good,51,4,8499,1950
Oppo,OPPO A38,4,128,Poor,63,1,9499,2423
Apple,iPhone 11,4,64,Poor,84,1,39999,13607
Motorola,Motorola G13,4,64,Fair,59,4,7999,1698
Samsung,Galaxy S23 FE,8,128,Poor,63,1,44999,11481
iQOO,iQOO Neo 9 Pro,8,128,Like New,73,4,35999,14190
Vivo,Vivo Y200 5G,8,128,Like New,58,1,21999,10335
Realme,Realme C33,4,64,Good,63,4,8499,2409
Oppo,OPPO F21 Pro,8,128,Poor,69,1,22999,6427
Redmi,Xiaomi 14,12,256,Like New,58,2,69999,29231
Samsung,Galaxy A23 5G,6,128,Poor,87,3,18999,5206
Oppo,OPPO Reno 10 5G,8,256,Like New,90,4,32999,16037
Realme,Realme C51,4,64,Good,86,1,7999,4643
Motorola,Motorola Razr 40 Ultra,8,256,Like New,94,3,79999,47375
Samsung,Galaxy A23 5G,6,128,Poor,96,2,18999,6566
Redmi,Redmi 13C,4,128,Fair,96,4,8499,2937
Samsung,Galaxy Z Fold 5,12,256,Poor,54,1,154999,33898
Redmi,Xiaomi 14 Civi,8,256,Like New,61,4,42999,14163
Oppo,OPPO A79 5G,8,128,Like New,76,1,17999,11080
Vivo,Vivo X100 5G,12,256,Poor,58,2,63999,13362
iQOO,iQOO Z7 5G,6,128,Like New,74,4,14999,5993
Vivo,Vivo Y200e 5G,6,128,Good,88,4,17999,7127
Redmi,Redmi Note 13 Pro 5G,8,128,Fair,58,1,25999,8142
Realme,Realme Narzo 20,4,64,Like New,87,1,10499,7398
Redmi,POCO X6 5G,8,256,Like New,54,1,21999,9622
OnePlus,OnePlus Nord CE 4 5G,8,128,Like New,85,2,24999,15299
iQOO,iQOO 12 5G,12,256,Poor,100,2,52999,19079
Vivo,Vivo V30 5G,8,128,Good,95,3,33999,16957
Apple,iPhone 14 Pro Max (1TB),6,1024,Poor,78,2,169900,47707
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Good,83,1,17999,10083
Samsung,Galaxy Z Fold 5,12,256,Poor,57,2,154999,31805
Motorola,Motorola Razr 40 Ultra,8,256,Poor,55,2,79999,15839
iQOO,iQOO Z9 5G,8,128,Good,69,3,19999,7244
Apple,iPhone 11,4,64,Fair,70,2,39999,13439
Redmi,Xiaomi 14,12,256,Fair,69,1,69999,26081
Oppo,OPPO F23 5G,8,256,Like New,77,2,22999,12750
iQOO,iQOO Z9 5G,8,128,Like New,89,1,19999,14417
Apple,iPhone 11,4,64,Poor,91,2,39999,13103
iQOO,iQOO 12 5G,12,256,Good,59,2,52999,18761
Infinix,Note 30 5G,8,128,Like New,75,3,13999,6614
Motorola,Motorola G85 5G,8,128,Good,81,1,17999,9840
Apple,iPhone 14 Pro Max,6,256,Good,69,2,127999,52991
Oppo,OPPO F21 Pro,8,128,Poor,71,1,22999,6613
OnePlus,OnePlus 12,12,256,Like New,63,1,64999,33168
Vivo,Vivo V30 5G,8,128,Fair,55,4,33999,6731
Apple,iPhone 15 Pro (512GB),8,512,Like New,83,2,149900,89580
Apple,iPhone 15,6,128,Like New,50,2,79900,28764
Infinix,Note 40 Pro 5G,8,256,Good,74,4,21999,7325
iQOO,iQOO Z7 Pro 5G,8,128,Fair,61,1,23999,7905
Oppo,OPPO Reno 11 5G,8,128,Good,95,2,27999,15959
Samsung,Galaxy F14 5G,4,128,Poor,57,2,10999,2256
OnePlus,OnePlus Open (Foldable),16,512,Fair,79,4,139999,39815
Apple,iPhone 15 Pro,8,128,Poor,56,2,134900,27195
Apple,iPhone 14 Plus,6,128,Fair,52,2,74999,18719
iQOO,iQOO Neo 9 Pro,8,128,Good,65,4,35999,10529
iQOO,iQOO Z7 5G,6,128,Good,68,4,14999,4589
Infinix,Zero 5G 2023,8,128,Like New,57,2,14999,6155
Motorola,Motorola G32,4,64,Like New,88,1,9999,7127
Vivo,Vivo Y18,4,64,Like New,82,1,8999,5977
Oppo,OPPO F21 Pro 5G,8,128,Fair,84,4,24999,7559
Infinix,Hot 30i,4,128,Like New,99,2,8499,6058
Apple,iPhone 14,6,128,Like New,98,3,69999,43217
Vivo,Vivo T3 5G,8,128,Fair,90,2,17999,7775
Oppo,OPPO K10 5G,8,128,Like New,96,3,14999,9071
iQOO,iQOO Neo 9 Pro,8,128,Fair,95,4,35999,12311
Apple,iPhone 15 Pro (512GB),8,512,Poor,94,1,149900,57066
Vivo,Vivo T3 5G,8,128,Fair,56,4,17999,3628
Motorola,Motorola Razr 40 Ultra,8,256,Poor,99,2,79999,28511
Oppo,OPPO Reno 11 Pro 5G,12,256,Fair,58,4,39999,8351
Oppo,OPPO A38,4,128,Poor,100,2,9499,3419
Oppo,OPPO A59 5G,4,128,Poor,78,2,12999,3650
Apple,iPhone 15 Pro,8,128,Poor,82,3,134900,34844
OnePlus,OnePlus 10R 5G,8,128,Poor,70,2,32999,8315
Realme,Realme Narzo 60x 5G,6,128,Like New,75,2,12999,7019
Realme,Realme 11x 5G,6,128,Poor,97,2,12999,4539
Realme,Realme Narzo 60 5G,8,128,Good,74,1,17999,8990
Infinix,Zero 30 5G,8,128,Good,97,2,17999,10475
OnePlus,OnePlus Nord 3 5G,8,128,Like New,72,4,30999,12052
Samsung,Galaxy M13,4,64,Fair,85,2,9499,3875
iQOO,iQOO 12 5G,12,256,Like New,95,4,52999,27188
Samsung,Galaxy M55 5G,8,128,Good,70,4,26999,8504
Infinix,Smart 8 Plus,4,128,Like New,58,1,7999,3757
Apple,iPhone 12,4,64,Like New,94,1,49999,38069
OnePlus,OnePlus Nord CE 3 5G,8,128,Poor,79,1,26999,8638
Samsung,Galaxy M55 5G,8,128,Fair,69,1,26999,10059
Samsung,Galaxy M14 5G,6,128,Poor,92,4,12499,3104
Realme,Realme C55,6,64,Good,86,1,9999,5804
Samsung,Galaxy A23 5G,6,128,Like New,63,2,18999,8617
Redmi,Redmi A3,3,64,Good,74,3,6999,2719
Apple,iPhone 12,4,64,Good,90,1,49999,30374
iQOO,iQOO Z9x 5G,4,128,Good,96,1,12999,8423
Redmi,Redmi K50i 5G,6,128,Like New,54,4,21999,6414
Realme,Realme C33,4,64,Like New,55,2,8499,3365
Vivo,Vivo Y200 5G,8,128,Poor,63,3,21999,4365
Vivo,Vivo Y200 5G,8,128,Good,75,3,21999,8662
Redmi,Xiaomi 14 Ultra,12,512,Fair,56,2,99999,26879
Infinix,Smart 8 HD,2,64,Poor,55,1,5999,1336
Vivo,Vivo X100 5G,12,256,Fair,67,3,63999,18009
Infinix,Note 12 Pro 5G,8,128,Fair,82,1,15999,7084
Vivo,Vivo Y27 5G,6,128,Poor,53,4,12999,1860
iQOO,iQOO 12 5G,12,256,Fair,99,3,52999,22036
Infinix,Smart 7,4,64,Poor,78,2,7299,2049
OnePlus,OnePlus Nord N30 SE 5G,4,128,Like New,88,1,13999,9978
Motorola,Motorola G73 5G,8,128,Like New,96,2,16999,11749
Apple,iPhone 13 (256GB),4,256,Poor,77,4,69900,14532
Infinix,Smart 7,4,64,Fair,64,3,7299,1961
Vivo,Vivo Y200 5G,8,128,Good,65,4,21999,6434
Redmi,Redmi Note 13 4G,6,128,Good,98,4,14499,6394
Motorola,Motorola G62 5G,6,128,Poor,89,2,11999,3844
Motorola,Motorola Edge 40,8,128,Good,71,3,26999,10063
Realme,Realme 10,8,128,Like New,71,3,12999,5814
Apple,iPhone 15 Pro Max (1TB),8,1024,Like New,94,4,199900,101469
Motorola,Motorola Razr 40,8,256,Good,56,1,59999,22679
Infinix,Hot 30,4,64,Like New,94,1,9499,7232
Infinix,Zero 5G,8,128,Poor,83,2,13499,4033
Vivo,Vivo Y18e,4,64,Good,87,3,7999,3653
iQOO,iQOO Z7 Pro 5G,8,128,Poor,56,3,23999,4233
Redmi,POCO M6 Pro 5G,4,128,Poor,60,1,10999,2672
Realme,Realme Narzo 50,6,128,Good,75,1,11999,6074
Vivo,Vivo Y200e 5G,6,128,Good,63,1,17999,7654
Realme,Realme 11x 5G,6,128,Fair,91,2,12999,5677
Infinix,Zero X Pro,8,128,Poor,89,4,21999,5286
Vivo,Vivo Y200e 5G,6,128,Like New,94,2,17999,12181
OnePlus,OnePlus Nord 3 5G,8,128,Poor,61,4,30999,5105
Vivo,Vivo Y16,3,64,Good,57,3,8999,2692
Oppo,OPPO A77s,6,128,Good,66,1,12499,5568
Redmi,POCO M6 5G,4,128,Like New,64,4,9499,3282
Apple,iPhone 14 Pro Max (1TB),6,1024,Good,72,3,169900,64222
OnePlus,OnePlus Nord CE 4 5G,8,128,Good,58,3,24999,7612
iQOO,iQOO 12 5G,12,256,Fair,68,4,52999,12974
Vivo,Vivo Y16,3,64,Like New,93,2,8999,6025
Infinix,Zero Ultra,8,256,Poor,60,4,29999,4859
Oppo,OPPO A17k,3,64,Good,51,3,7999,2141
Motorola,Motorola G73 5G,8,128,Like New,98,1,16999,13493
iQOO,iQOO Z9x 5G,4,128,Fair,70,1,12999,4913
Apple,iPhone 15 Pro Max (1TB),8,1024,Fair,79,3,199900,66326
Realme,Realme Narzo 50,6,128,Like New,66,3,11999,4989
Realme,Realme C33,4,64,Good,81,2,8499,4130
Oppo,OPPO F21 Pro 5G,8,128,Like New,96,1,24999,19439
OnePlus,OnePlus Nord CE 3 5G,8,128,Like New,66,4,26999,9622
iQOO,iQOO Z9x 5G,4,128,Poor,99,1,12999,5211
Samsung,Galaxy A15 5G,6,128,Like New,78,3,14499,7124
Motorola,Motorola Edge 40 Neo,8,128,Like New,97,3,20999,12832
Apple,iPhone 14 (256GB),6,256,Poor,92,2,79999,26495
Realme,Realme Narzo N65 5G,4,128,Poor,94,4,11499,2918
Oppo,OPPO F23 5G,8,256,Poor,64,1,22999,5961
Motorola,Motorola Edge 30 Ultra,12,256,Fair,88,2,49999,21119
iQOO,iQOO Z9x 5G,4,128,Like New,67,2,12999,6270
Oppo,OPPO A38,4,128,Like New,59,3,9499,3530
Infinix,Smart 8,4,64,Good,53,4,6999,1669
Vivo,Vivo X100 Pro 5G,16,512,Fair,97,4,89999,31427
Samsung,Galaxy S23 FE,8,128,Like New,91,4,44999,22112
Motorola,Motorola G13,4,64,Good,85,3,7999,3569
Infinix,Smart 8 HD,2,64,Poor,96,1,5999,2332
Samsung,Galaxy Z Fold 5,12,256,Like New,59,1,154999,74074
Infinix,Hot 30,4,64,Poor,90,2,9499,3077
Samsung,Galaxy Z Flip 5,8,256,Good,78,1,89999,47384
Motorola,Motorola G13,4,64,Like New,72,1,7999,4665
Redmi,Redmi 13C,4,128,Fair,80,1,8499,3671
Vivo,Vivo Y27 5G,6,128,Poor,99,4,12999,3474
Redmi,Xiaomi 14 Civi,8,256,Poor,56,2,42999,8668
Redmi,Redmi 13C 5G,4,128,Good,60,4,9999,2699
iQOO,iQOO Z7 5G,6,128,Like New,51,2,14999,5507
Oppo,OPPO F23 5G,8,256,Fair,78,3,22999,7534
OnePlus,OnePlus 12,12,256,Like New,80,3,64999,32759
Realme,Realme Narzo 60 5G,8,128,Good,57,3,17999,5386
Infinix,Hot 30i,4,128,Poor,96,2,8499,2937
Redmi,Xiaomi 14 Civi,8,256,Fair,57,3,42999,10293
Apple,iPhone 15 Pro Max (1TB),8,1024,Good,60,4,199900,53973
Motorola,Motorola G24 Power,4,128,Good,63,4,8999,2551
Infinix,GT 20 Pro,8,256,Like New,89,1,24999,18021
Apple,iPhone 12 (128GB),4,128,Good,83,3,54999,23965
Motorola,Motorola Edge 50 Fusion,8,128,Like New,61,3,22999,8838
Samsung,Galaxy F14 5G,4,128,Good,82,1,10999,6087
Motorola,Motorola G85 5G,8,128,Good,75,4,17999,6074
Apple,iPhone 14,6,128,Good,80,2,69999,33599
Redmi,POCO M6 Pro 5G,4,128,Like New,61,3,10999,4226
Oppo,OPPO F25 Pro 5G,8,128,Like New,86,2,23999,14860
Oppo,OPPO A17k,3,64,Fair,61,2,7999,2342
Motorola,Motorola Edge 50 Pro,8,256,Good,89,2,31999,17087
OnePlus,OnePlus Nord CE 3 Lite 5G,8,128,Good,91,4,17999,7370
Realme,Realme Narzo N53,6,128,Like New,86,3,10999,5959
Infinix,Hot 40i,8,128,Like New,94,4,8499,4314
Motorola,Motorola G62 5G,6,128,Fair,53,4,11999,2289
OnePlus,OnePlus Nord 3 5G,8,128,Good,68,1,30999,14228
Samsung,Galaxy M14 5G,6,128,Good,79,1,12499,6665
Redmi,POCO X5 Pro 5G,6,128,Good,70,4,20999,6614
iQOO,iQOO Z7 5G,6,128,Good,77,1,14999,7795
Motorola,Motorola Edge 50 Fusion,8,128,Like New,90,4,22999,11177
Motorola,Motorola G62 5G,6,128,Fair,60,3,11999,3023
Samsung,Galaxy S24,8,256,Good,84,2,79999,40319
